feature	profile	wire_B	budget_s	measured_s	status	note
call_connect	normal	-	300	61.0	FAIL	outcome=Call app_end=Call peer_end=? media=noLocalAudio bw=- delay=40 plr=0.0 icmp_rtt=81.116 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	normal	-	40	-	FAIL	chip_live=0 chip_demo=0 rtt=-..-ms loss_max=0.0% reconnects=0 (bar not live) (no connected call to measure) bw=- delay=40 plr=0.0 icmp_rtt=81.116 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	normal	-	300	61.0	FAIL	outcome=Call_failedconnect_ms app_end=Call_failed peer_end=? media=noLocalAudio run=2026-09-03T10:22:14Z bw=- delay=40 plr=0.0 icmp_rtt=80.999 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	normal	-	40	-	FAIL	chip_live=0 chip_demo=0 rtt=-..-ms loss_max=0.0% reconnects=0 (bar not live) (no connected call to measure) run=2026-09-03T10:22:14Z bw=- delay=40 plr=0.0 icmp_rtt=80.999 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	normal	-	300	6.3	FAIL	outcome=Connectedconnect_ms app_end=Reconnecting… peer_end=localHangup media=noLocalAudio run=2026-09-03T10:35:46Z bw=- delay=40 plr=0.0 icmp_rtt=81.521 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	normal	-	40	83	FAIL	chip_live=16 chip_demo=0 rtt=82..83ms loss_max=0.0% reconnects=1 (no connected call to measure) run=2026-09-03T10:35:46Z bw=- delay=40 plr=0.0 icmp_rtt=81.521 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	normal	-	300	7.6	PASS	outcome=Connected app_end=Reconnecting… peer_end=localHangup media=noLocalAudio run=2026-09-03T10:47:18Z bw=- delay=40 plr=0.0 icmp_rtt=81.070 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	normal	-	40	82	PASS	chip_live=64 chip_demo=0 rtt=81..82ms loss_max=0.0% reconnects=3 run=2026-09-03T10:47:18Z bw=- delay=40 plr=0.0 icmp_rtt=81.070 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	latency	-	300	6.3	PASS	outcome=Connected app_end=Reconnecting… peer_end=localHangup media=noLocalAudio run=2026-09-03T11:49:43Z bw=- delay=900 plr=0.0 icmp_rtt=1801.293 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	latency	-	900	1803	PASS	chip_live=60 chip_demo=0 rtt=1801..1803ms loss_max=0.0% reconnects=1 run=2026-09-03T11:49:43Z bw=- delay=900 plr=0.0 icmp_rtt=1801.293 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	latency	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	latency	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	latency	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	latency	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	loss10	-	300	6.1	PASS	outcome=Connected app_end=Call_ended peer_end=? media=noLocalAudio run=2026-09-03T11:57:09Z bw=- delay=- plr=0.10 icmp_rtt=0.931 icmp_loss=50.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	loss10	-	-	3	INFO	chip_live=61 chip_demo=0 rtt=1..3ms loss_max=0.0% reconnects=3 run=2026-09-03T11:57:09Z bw=- delay=- plr=0.10 icmp_rtt=0.931 icmp_loss=50.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	loss10	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	loss10	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	loss10	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	loss10	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	bandwidth	-	300	5.2	PASS	outcome=Connected app_end=Call_ended peer_end=localHangup media=noLocalAudio run=2026-09-03T12:06:29Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.204 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	bandwidth	-	-	956	INFO	chip_live=65 chip_demo=0 rtt=57..956ms loss_max=0.0% reconnects=4 run=2026-09-03T12:06:29Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.204 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	bandwidth	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	bandwidth	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	bandwidth	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	bandwidth	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	narrow	-	300	7.3	PASS	outcome=Connected app_end=Reconnecting… peer_end=localHangup media=noLocalAudio run=2026-09-03T18:12:05Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.139 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	narrow	-	-	5209	INFO	chip_live=59 chip_demo=0 rtt=2..5209ms loss_max=0.0% reconnects=3 run=2026-09-03T18:12:05Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.139 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	narrow	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	narrow	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	narrow	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	narrow	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	loss60	-	300	6.0	PASS	outcome=Connected app_end=Call_ended peer_end=? media=noLocalAudio run=2026-09-03T18:18:59Z bw=- delay=- plr=0.60 icmp_rtt=1.013 icmp_loss=90.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	loss60	-	-	3	INFO	chip_live=65 chip_demo=0 rtt=1..3ms loss_max=0.0% reconnects=0 run=2026-09-03T18:18:59Z bw=- delay=- plr=0.60 icmp_rtt=1.013 icmp_loss=90.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	loss60	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	loss60	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	loss60	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	loss60	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	extreme	-	300	5.6	PASS	outcome=Connected app_end=Call_ended peer_end=localHangup media=noLocalAudio run=2026-09-03T18:24:52Z bw=16Kbit/s delay=1000 plr=0.15 icmp_rtt=2085.044 icmp_loss=20.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
